2805.11	-14978.1	1057.31	-13920.8	0.000545
2834.43	-14980.4	1068.36	-13912	0.00055
2854.76	-14980.9	1076.02	-13904.9	0.000555
2839.57	-14976.9	1070.3	-13906.6	0.00056
2826.81	-14969.3	1065.49	-13903.8	0.000565
2817.92	-14961.6	1062.14	-13899.4	0.00057
2792.66	-14956.6	1052.62	-13904	0.000575
2794.85	-14955.9	1053.44	-13902.4	0.00058
2819.56	-14957.6	1062.76	-13894.8	0.000585
2841.16	-14959	1070.9	-13888.1	0.00059
2848.02	-14956.4	1073.48	-13882.9	0.000595
2818.62	-14948.5	1062.4	-13886.1	0.0006
2816.68	-14937.9	1061.67	-13876.3	0.000605
2824.06	-14929.1	1064.45	-13864.6	0.00061
2838.68	-14925.2	1069.96	-13855.2	0.000615
2858.77	-14926.2	1077.54	-13848.7	0.00062
2858.4	-14927.9	1077.39	-13850.5	0.000625
2848.12	-14924.7	1073.52	-13851.2	0.00063
2826.14	-14915.5	1065.23	-13850.2	0.000635
2818.02	-14904.7	1062.18	-13842.5	0.00064
2828.33	-14898.3	1066.06	-13832.3	0.000645
2848.79	-14898.3	1073.77	-13824.5	0.00065
2841.4	-14902.8	1070.99	-13831.8	0.000655
2879.98	-14910.5	1085.53	-13825	0.00066
2920.54	-14920.5	1100.82	-13819.7	0.000665
2968.13	-14930.2	1118.75	-13811.4	0.00067
2986.81	-14935.2	1125.8	-13809.4	0.000675
2989.2	-14933.6	1126.7	-13806.9	0.00068
2983.52	-14926.5	1124.56	-13802	0.000685
2971.29	-14917.6	1119.95	-13797.7	0.00069
2934.85	-14910.8	1106.21	-13804.5	0.000695
2954.81	-14909	1113.74	-13795.3	0.0007
2964.74	-14912.4	1117.48	-13795	0.000705
3000.04	-14918.7	1130.78	-13787.9	0.00071
3018.81	-14924.2	1137.86	-13786.4	0.000715
3018.23	-14924.8	1137.64	-13787.1	0.00072
3019.91	-14919.6	1138.27	-13781.4	0.000725
2976.12	-14910.4	1121.77	-13788.6	0.00073
2934.94	-14899.4	1106.24	-13793.1	0.000735
2907.2	-14888.6	1095.79	-13792.8	0.00074
2887.75	-14880.4	1088.46	-13791.9	0.000745
2877.29	-14877.2	1084.52	-13792.7	0.00075
2904.2	-14880	1094.66	-13785.4	0.000755
2939.84	-14885.7	1108.09	-13777.6	0.00076
2969.01	-14890.2	1119.09	-13771.1	0.000765
2987.33	-14892.1	1125.99	-13766.1	0.00077
2997.82	-14892.2	1129.94	-13762.3	0.000775
