-209.359	7.97563	-225.31	0
-212.045	5.59992	-223.244	0.25
-212.199	5.4381	-223.075	0.5
-212.298	5.34025	-222.978	0.75
-212.369	5.28236	-222.933	1
-212.272	5.3601	-222.992	1.25
-212.169	5.48191	-223.133	1.5
-212.18	5.45225	-223.085	1.75
-212.179	5.46617	-223.112	2
-212.305	5.34618	-222.998	2.25
-212.214	5.40618	-223.027	2.5
-212.227	5.42067	-223.069	2.75
-212.155	5.4835	-223.122	3
-212.264	5.37404	-223.013	3.25
-212.348	5.28759	-222.923	3.5
-212.196	5.47028	-223.137	3.75
-212.385	5.24732	-222.88	4
-212.175	5.44196	-223.059	4.25
-212.222	5.41292	-223.048	4.5
-212.124	5.5009	-223.126	4.75
-212.231	5.40358	-223.039	5
-212.267	5.36175	-222.99	5.25
-212.316	5.33036	-222.977	5.5
-212.142	5.47804	-223.098	5.75
-212.223	5.4004	-223.024	6
-212.276	5.35198	-222.98	6.25
-212.243	5.36999	-222.983	6.5
-212.227	5.40803	-223.043	6.75
-212.25	5.37529	-223.001	7
-212.346	5.30457	-222.956	7.25
-212.238	5.39035	-223.019	7.5
-212.202	5.42952	-223.061	7.75
-212.323	5.28695	-222.897	8
-212.304	5.3436	-222.991	8.25
-212.327	5.3091	-222.945	8.5
-212.213	5.39424	-223.001	8.75
-212.297	5.30281	-222.902	9
-212.167	5.4326	-223.032	9.25
-212.267	5.35272	-222.972	9.5
-212.292	5.35184	-222.996	9.75
